userId,postId,rating
647ced57edb212892aa55676,17,3
647ced57edb212892aa55676,21,4
647ced57edb212892aa55676,25,5
647ced73edb212892aa5567a,30,4
647ced73edb212892aa5567a,32,3
647ced73edb212892aa5567a,34,4
647ceda8edb212892aa5567e,39,5
647ceda8edb212892aa5567e,41,3
647ceda8edb212892aa5567e,43,4
647cedc0edb212892aa55682,48,4
647cedc0edb212892aa55682,50,5
647cedc0edb212892aa55682,52,4
647ceddaedb212892aa55686,2,4
647ceddaedb212892aa55686,57,5
647ceddaedb212892aa55686,58,3
647cedf6edb212892aa5568a,17,3
647cedf6edb212892aa5568a,21,4
647cedf6edb212892aa5568a,25,5
647cee19edb212892aa5568e,30,5
647cee19edb212892aa5568e,32,4
647cee19edb212892aa5568e,34,3
647cee34edb212892aa55692,39,3
647cee34edb212892aa55692,41,4
647cee34edb212892aa55692,43,5
647cee51edb212892aa55696,48,4
647cee51edb212892aa55696,50,5
647cee51edb212892aa55696,52,4
647cee92edb212892aa5569a,2,3
647cee92edb212892aa5569a,57,5
647cee92edb212892aa5569a,58,4
647ceec0edb212892aa5569e,17,4
647ceec0edb212892aa5569e,21,3
647ceec0edb212892aa5569e,25,5
647ceec0edb212892aa5569e,50,5
647ceedfedb212892aa556a2,30,5
647ceedfedb212892aa556a2,32,4
647ceedfedb212892aa556a2,34,3
647ceefeedb212892aa556a6,39,4
647ceefeedb212892aa556a6,41,3
647ceefeedb212892aa556a6,43,5
647cef19edb212892aa556aa,48,5
647cef19edb212892aa556aa,50,4
647cef19edb212892aa556aa,52,3
647cef33edb212892aa556ae,2,5
647cef33edb212892aa556ae,57,4
647cef33edb212892aa556ae,58,4
647cef53edb212892aa556b2,17,4
647cef53edb212892aa556b2,21,3
647cef53edb212892aa556b2,25,5
647cef6eedb212892aa556b6,30,4
647cef6eedb212892aa556b6,32,5
647cef6eedb212892aa556b6,34,3
647cef93edb212892aa556ba,39,5
647cef93edb212892aa556ba,41,4
647cef93edb212892aa556ba,43,3
647cefaaedb212892aa556be,48,4
647cefaaedb212892aa556be,50,5
647cefaaedb212892aa556be,52,3
647cefc4edb212892aa556c2,2,4
647cefc4edb212892aa556c2,57,5
647cefc4edb212892aa556c2,58,3
64b4e8d23d4e2d47a2a77b0c,49,5
64b4e8d23d4e2d47a2a77b0c,50,5
64b4e8d23d4e2d47a2a77b0c,51,5
64b4e8d23d4e2d47a2a77b0c,61,5
64b4e8d23d4e2d47a2a77b0c,62,5
64b4e8d23d4e2d47a2a77b0c,63,5
64b4e9393d4e2d47a2a77be4,58,5
64b4e9393d4e2d47a2a77be4,59,5
64b4e9393d4e2d47a2a77be4,60,5
64b4e9393d4e2d47a2a77be4,64,5
64b4e9393d4e2d47a2a77be4,65,5
64b4e9393d4e2d47a2a77be4,66,5
64b4e99b3d4e2d47a2a77c5e,7,5
64b4e99b3d4e2d47a2a77c5e,8,5
64b4e99b3d4e2d47a2a77c5e,9,5
64b4e99b3d4e2d47a2a77c5e,67,5
64b4e99b3d4e2d47a2a77c5e,68,5
64b4e99b3d4e2d47a2a77c5e,69,5
64b4ea5c3d4e2d47a2a77d1f,19,5
64b4ea5c3d4e2d47a2a77d1f,20,5
64b4ea5c3d4e2d47a2a77d1f,21,5
64b4ea5c3d4e2d47a2a77d1f,55,5
64b4ea5c3d4e2d47a2a77d1f,56,5
64b4ea5c3d4e2d47a2a77d1f,57,5
64b4ea5c3d4e2d47a2a77d1f,70,5
64b4ea5c3d4e2d47a2a77d1f,71,5
64b4ea5c3d4e2d47a2a77d1f,72,5
64b4eaa53d4e2d47a2a77df5,52,5
64b4eaa53d4e2d47a2a77df5,53,5
64b4eaa53d4e2d47a2a77df5,54,5
64b4eaa53d4e2d47a2a77df5,73,5
64b4eaa53d4e2d47a2a77df5,74,4
64b4eaa53d4e2d47a2a77df5,75,5
64b4ece63d4e2d47a2a77ece,50,4
64b4ece63d4e2d47a2a77ece,62,5
64b4ed903d4e2d47a2a77f9f,21,4
64b4ed903d4e2d47a2a77f9f,57,4
64b4ed903d4e2d47a2a77f9f,70,5
64b4eeb43d4e2d47a2a7817d,60,5
64b4eeb43d4e2d47a2a7817d,66,5
64b4ef273d4e2d47a2a78235,8,4
64b4ef273d4e2d47a2a78235,9,3
64b4ef273d4e2d47a2a78235,69,5
64b4efe53d4e2d47a2a782f6,54,4
64b4efe53d4e2d47a2a782f6,75,5
